export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181979,Grandeur,Tubbees Lemon-A-licious!,Eau de Parfum,UNI,50 ml,5055810056933,5055810056933,69,"7,01",0,,brasty_dump,,,,in_stock/5055810056933.jpg
181980,Al Wataniah,Sahari,Eau de Parfum,UNI,100 ml,5055810057299,5055810057299,9,"12,05",0,,brasty_dump,,,,in_stock/5055810057299.jpg
181981,Grandeur,Tubbees Tira-Miss-You,Eau de Parfum,UNI,50 ml,5055810056971,5055810056971,79,"6,55",0,,brasty_dump,,,,in_stock/5055810056971.jpg
181982,Grandeur,Tubbees Candy Apple,Eau de Parfum,UNI,50 ml,5055810056919,5055810056919,143,"6,95",0,,brasty_dump,,,,in_stock/5055810056919.jpg
181983,Al Wataniah,Arya,Eau de Parfum,W,100 ml,5055810099749,5055810099749,18,"19,17",0,,brasty_dump,,,,in_stock/5055810099749.jpg
181984,Grandeur,Tubbees Matcha Made In Heaven,Eau de Parfum,UNI,50 ml,5055810056940,5055810056940,44,"6,68",0,,brasty_dump,,,,in_stock/5055810056940.jpg
181986,Grandeur,Tubbees Berry Explosion,Eau de Parfum,UNI,50 ml,5055810056896,5055810056896,16,"7,07",0,,brasty_dump,,,,in_stock/5055810056896.jpg
181988,Gillette,Mach3+,Razor,M,1 ks,7702018020706,7702018020706,21,"5,58",0,,no_image_anywhere,,,,
181989,Gillette,Fusion5 Proglide,Razor,M,1 ks,4987176282934,4987176282934,9,"5,43",0,,no_image_anywhere,,,,
181991,Gillette,Venus ComfortGlide Coconut,Razor,W,1 ks,7702018587230,7702018587230,12,"6,49",0,,no_image_anywhere,,,,
182005,M.Micallef,Hypnotic Musk,Eau de Parfum,W,100 ml,3760231016238,3760231016238,2,"94,10",0,,scraped_unapplied,,,3760231016238.jpg,
182012,M.Micallef,Osaïto,Eau de Parfum,M,50 ml,3760231015569,3760231015569,1,"49,42",0,,no_image_anywhere,,,,
